Country,Primary,Secondary,Tertiary,Region 
Australia,4.6,34.5,19.8,Advanced Economies
Austria,23.4,34.8,7.4,Advanced Economies
Belgium,10.3,31.4,15.9,Advanced Economies
Canada,2.3,29.1,22.8,Advanced Economies
Denmark,5.9,36.2,14.9,Advanced Economies
Finland,24.6,19.7,11.2,Advanced Economies
France,17.7,35.3,9.2,Advanced Economies
Germany,2.9,54.2,10.1,Advanced Economies
Greece,29.0,27.7,22.4,Advanced Economies
Iceland,22.0,26.3,17.5,Advanced Economies
Ireland,13.3,24.9,28.3,Advanced Economies
Italy,18.3,33.1,6.8,Advanced Economies
Japan,9.2,41.8,16.7,Advanced Economies
Luxembourg,18.9,26.3,15.5,Advanced Economies
Netherlands,10.4,37.3,13.7,Advanced Economies
New Zealand,25.3,13.7,20.7,Advanced Economies
Norway,0.3,38.1,12.5,Advanced Economies
Portugal,33.8,15.3,4.6,Advanced Economies
Spain,20.7,19.7,14.3,Advanced Economies
Sweden,9.0,45.7,16.2,Advanced Economies
Switzerland,2.8,51.1,13.3,Advanced Economies
Turkey,37.6,17.2,4.3,Advanced Economies
USA,1.9,35.3,26.8,Advanced Economies
United Kingdom,12.4,45.3,14.7,Advanced Economies
Brunei Darussalam,11.1,30.5,6.3,East Asia and the Pacific
Cambodia,21.5,3.0,0.9,East Asia and the Pacific
China,16.4,20.7,2.4,East Asia and the Pacific
China Hong Kong Special Administrative Region,15.5,43.7,13.9,East Asia and the Pacific
China Macao Special Administrative Region,15.9,32.5,10.3,East Asia and the Pacific
Fiji,16.4,37.5,6.9,East Asia and the Pacific
Indonesia,29.3,19.4,3.6,East Asia and the Pacific
Lao People's Democratic Republic,21.8,5.3,3.3,East Asia and the Pacific
Malaysia,11.3,39.5,5.1,East Asia and the Pacific
Mongolia,6.8,46.3,22.6,East Asia and the Pacific
Myanmar,35.2,16.3,2.9,East Asia and the Pacific
Papua New Guinea,39.0,5.0,0.5,East Asia and the Pacific
Philippines,18.7,24.9,6.6,East Asia and the Pacific
Republic of Korea,11.4,35.3,28.6,East Asia and the Pacific
Singapore,4.6,29.2,27.9,East Asia and the Pacific
Taiwan,14.5,31.1,9.9,East Asia and the Pacific
Thailand,27.8,17.4,11.7,East Asia and the Pacific
Tonga,7.1,52.2,2.6,East Asia and the Pacific
Viet Nam,18.1,16.8,2.9,East Asia and the Pacific
Albania,10.4,38.9,1.0,Europe and Central Asia
Armenia,4.3,64.2,11.9,Europe and Central Asia
Bulgaria,5.5,43.0,13.6,Europe and Central Asia
Croatia,9.6,43.0,10.9,Europe and Central Asia
Czech Republic,0.6,65.4,7.1,Europe and Central Asia
Estonia,4.9,43.0,22.1,Europe and Central Asia
Hungary,2.1,48.5,16.1,Europe and Central Asia
Kazakhstan,3.1,63.7,14.8,Europe and Central Asia
Kyrgyzstan,5.6,63.7,9.7,Europe and Central Asia
Latvia,3.5,41.0,12.9,Europe and Central Asia
Lithuania,10.2,46.7,17.4,Europe and Central Asia
Poland,18.0,54.2,12.3,Europe and Central Asia
Republic of Moldova,4.6,51.4,9.6,Europe and Central Asia
Romania,1.8,46.6,6.4,Europe and Central Asia
Russian Federation,4.2,21.1,20.3,Europe and Central Asia
Serbia,9.9,42.8,8.4,Europe and Central Asia
Slovakia,1.1,56.8,9.2,Europe and Central Asia
Slovenia,3.6,49.6,14.7,Europe and Central Asia
