Country,Year,Age,AgeTo,Schooling,Primary,Primary,Secondary,Secondary,Tertiary,Tertiary,Avg. Years,Avg. Years Primary, Avg. Years Secondary,Avg. Years Tertiary,Populaition,Region 
Australia,1950,15,19,1.7,30.0,16.2,58.5,29.3,9.8,1.4,8.54,5.48,2.83,0.22,273,Advanced Economies
,1950,20,24,0.7,33.0,15.8,55.2,34.1,11.1,3.7,8.63,5.44,2.89,0.30,313,Advanced Economies
,1950,25,29,0.7,33.0,19.0,55.2,30.0,11.1,5.9,8.69,5.54,2.81,0.34,333,Advanced Economies
,1950,30,34,0.8,41.9,26.5,47.6,23.1,9.7,5.3,8.16,5.49,2.38,0.30,304,Advanced Economies
,1950,35,39,0.8,41.9,24.5,47.6,21.9,9.7,5.2,8.08,5.43,2.35,0.30,307,Advanced Economies
,1950,40,44,1.2,49.0,28.7,40.7,17.7,9.1,4.8,7.63,5.32,2.03,0.28,267,Advanced Economies
,1950,45,49,1.2,49.0,28.7,40.7,16.9,9.1,4.7,7.61,5.32,2.01,0.28,236,Advanced Economies
,1950,50,54,1.7,58.9,41.1,32.5,12.4,6.9,3.5,7.14,5.36,1.57,0.21,222,Advanced Economies
,1950,55,59,1.8,61.1,51.1,30.6,10.7,6.5,3.2,7.24,5.59,1.46,0.19,209,Advanced Economies
,1950,60,64,1.8,63.3,58.2,28.8,9.3,6.1,3.0,7.27,5.74,1.35,0.18,181,Advanced Economies
,1950,65,69,1.9,65.4,55.6,27.0,8.0,5.7,2.6,7.01,5.59,1.25,0.17,143,Advanced Economies
,1950,70,74,1.9,65.4,55.6,27.0,7.4,5.7,2.6,7.00,5.59,1.24,0.17,99,Advanced Economies
,1950,75,+,1.9,65.4,55.6,27.0,6.8,5.7,2.6,6.99,5.59,1.23,0.17,121,Advanced Economies
,1950,25,+,1.3,50.5,34.6,39.9,16.5,8.4,4.3,7.64,5.45,1.94,0.25,2422,Advanced Economies
,1950,15,+,1.3,46.8,30.5,43.2,19.1,8.8,4.0,7.81,5.43,2.12,0.26,3008,Advanced Economies
,,,,,,,,,,,,,,,,
,1955,15,19,1.2,24.5,11.1,63.4,34.0,11.0,1.5,8.90,5.53,3.13,0.25,299,Advanced Economies
,1955,20,24,0.6,21.6,8.7,63.6,42.0,14.2,4.7,9.41,5.58,3.46,0.38,285,Advanced Economies
,1955,25,29,0.7,33.0,15.8,55.2,34.1,11.1,6.0,8.68,5.44,2.89,0.34,335,Advanced Economies
,1955,30,34,0.7,33.0,19.0,55.2,30.0,11.1,6.1,8.69,5.54,2.81,0.34,353,Advanced Economies
,1955,35,39,0.8,41.9,26.5,47.6,23.1,9.7,5.2,8.16,5.49,2.38,0.30,319,Advanced Economies
,1955,40,44,0.8,41.9,24.5,47.6,21.9,9.7,5.2,8.08,5.43,2.35,0.30,316,Advanced Economies
,1955,45,49,1.2,49.0,28.7,40.7,17.7,9.1,4.7,7.62,5.32,2.03,0.28,269,Advanced Economies
,1955,50,54,1.2,49.0,28.7,40.7,16.9,9.1,4.7,7.61,5.32,2.01,0.28,230,Advanced Economies
,1955,55,59,1.7,58.9,41.2,32.5,12.4,6.9,3.4,7.14,5.37,1.57,0.21,213,Advanced Economies
,1955,60,64,1.8,61.1,47.1,30.6,10.7,6.5,3.2,7.12,5.47,1.46,0.19,198,Advanced Economies
,1955,65,69,1.8,63.3,45.2,28.8,9.3,6.1,2.8,6.88,5.35,1.35,0.18,167,Advanced Economies
,1955,70,74,1.8,63.3,45.2,28.8,8.6,6.1,2.8,6.86,5.35,1.34,0.18,118,Advanced Economies
